Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NVIDIA CORP,NVDA,67066G104,2379504,15.277871,-,76707383.000,USD,,,,
APPLE INC,AAPL,037833100,2046251,12.291550,-,46343755.000,USD,,,,
MICROSOFT CORP,MSFT,594918104,2588173,9.907222,-,23440445.000,USD,,,,
BROADCOM INC,AVGO,11135F101,BDZ78H9,5.997786,-,14966663.000,USD,,,,
MICRON TECHNOLOGY INC,MU,595112103,2588184,3.874849,-,8653359.000,USD,,,,
ADVANCED MICRO DEVICES,AMD,007903107,2007849,3.553534,-,12535370.000,USD,,,,
CISCO SYSTEMS INC,CSCO,17275R102,2198163,2.715234,-,30377949.000,USD,,,,
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,2.554573,-,17562984.000,USD,,,,
LAM RESEARCH CORP,LRCX,512807306,BSML4N7,2.471813,-,9601016.000,USD,,,,
APPLIED MATERIALS INC,AMAT,038222105,2046552,2.397869,-,6102521.000,USD,,,,
INTEL CORP,INTC,458140100,2463247,2.383479,-,36099703.000,USD,,,,
ORACLE CORP,ORCL,68389X105,2661568,2.353598,-,13037358.000,USD,,,,
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,1.830958,-,7186629.000,USD,,,,
KLA CORP,KLAC,482480100,2480138,1.792994,-,1007846.000,USD,,,,
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,1.621062,-,6977629.000,USD,,,,
AMPHENOL CORP CL A,APH,032095101,2145084,1.430769,-,9450826.000,USD,,,,
ANALOG DEVICES INC,ADI,032654105,2032067,1.404850,-,3756900.000,USD,,,,
ARISTA NETWORKS INC,ANET,040413205,BL9XPM3,1.367490,-,7939140.000,USD,,,,
SALESFORCE INC,CRM,79466L302,2310525,1.343186,-,7204152.000,USD,,,,
QUALCOMM INC,QCOM,747525103,2714923,1.108147,-,8203694.000,USD,,,,
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,1.083135,-,6212802.000,USD,,,,
SANDISK CORP,SNDK,80004C200,BSNPZV3,1.021726,-,1134893.000,USD,,,,
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.996906,-,2606643.000,USD,,,,
CORNING INC,GLW,219350105,2224701,0.989614,-,6002643.000,USD,,,,
APPLOVIN CORP CLASS A,APP,03831W108,BMV3LG4,0.982439,-,2083641.000,USD,,,,
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,0.935365,-,1676542.000,USD,,,,
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.916498,-,4730797.000,USD,,,,
CROWDSTRIKE HOLDINGS INC   A,CRWD,22788C105,BJJP138,0.868320,-,1938151.000,USD,,,,
INTUIT INC,INTU,461202103,2459020,0.863102,-,2139497.000,USD,,,,
SERVICENOW INC,NOW,81762P102,B80NXX8,0.802479,-,8042109.000,USD,,,,
ADOBE INC,ADBE,00724F101,2008154,0.777346,-,3156056.000,USD,,,,
SYNOPSYS INC,SNPS,871607107,2867719,0.685300,-,1470850.000,USD,,,,
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.679474,-,2092724.000,USD,,,,
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.570198,-,374507.000,USD,,,,
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.565352,-,1273605.000,USD,,,,
TE CONNECTIVITY PLC,TEL,G87052109,BRC3N84,0.546675,-,2256032.000,USD,,,,
CIENA CORP,CIEN,171779309,B1FLZ21,0.546000,-,1083044.000,USD,,,,
COHERENT CORP,COHR,19247G107,BNG8Z81,0.493795,-,1441442.000,USD,,,,
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.483501,-,2284905.000,USD,,,,
